business_name,telephone,business_page,category,website,street,locality,region,zipcode
Kennedy Elementary School,(315) 393-4264,https://www.yellowpages.com/ogdensburg-ny/mip/kennedy-elementary-school-12085114,Public Schools,,801 Commerce Park Dr,Ogdensburg,NY,13669
Yeshiva Ketana Of Bensonhurst,(718) 336-1101,https://www.yellowpages.com/brooklyn-ny/mip/yeshiva-ketana-of-bensonhurst-14413567,"Colleges & Universities,Educational Consultants,Schools",,120 Avenue M,Brooklyn,NY,11230
Williamsville Central School District,(716) 626-8800,https://www.yellowpages.com/buffalo-ny/mip/williamsville-central-school-district-484669856,Public Schools,http://www.williamsvillek12.org/maple_east.cfm,1500 Maple Rd,Buffalo,NY,14221
Cornerstone Christian Church,(315) 424-5472,https://www.yellowpages.com/syracuse-ny/mip/cornerstone-christian-church-14000031,"Religious Organizations,Christian Churches,Churches & Places of Worship",,713 Catherine St,Syracuse,NY,13203
Oswego Middle School,(315) 341-2300,https://www.yellowpages.com/oswego-ny/mip/oswego-middle-school-465590930,Public Schools,http://www.oswego.org,100 Mark Fitzgibbons Dr,Oswego,NY,13126
Sandy Creek Central School,(315) 387-3465,https://www.yellowpages.com/pulaski-ny/mip/sandy-creek-central-school-13581959,"Public Schools,Schools,Elementary Schools",http://www.sccs.cnyric.org,126 Salisbury Rd,Pulaski,NY,13142
Nco Academy,(315) 772-8204,https://www.yellowpages.com/fort-drum-ny/mip/nco-academy-497626238,Public Schools,,515 Lewis Ave,Fort Drum,NY,13602
St Francis Xavier Center,(315) 673-4107,https://www.yellowpages.com/marcellus-ny/mip/st-francis-xavier-center-6173691,"Religious Organizations,Churches & Places of Worship,Catholic Churches",,53 North St,Marcellus,NY,13108
Mt Erie Baptist Church,(716) 284-7498,https://www.yellowpages.com/niagara-falls-ny/mip/mt-erie-baptist-church-18238770,"Religious Organizations,Baptist Churches,Churches & Places of Worship",,1152 Fairfield Ave,Niagara Falls,NY,14305
Cattaraugus Local Dev Corp,(716) 257-3237,https://www.yellowpages.com/cattaraugus-ny/mip/cattaraugus-local-dev-corp-462790842,Public Schools,,11 S Franklin St,Cattaraugus,NY,14719
Sisters of the Holy Names,(518) 674-3071,https://www.yellowpages.com/averill-park-ny/mip/sisters-of-the-holy-names-28727286,"Religious Organizations,Churches & Places of Worship",,Crooked Lk,Averill Park,NY,12018
Community Mission,(716) 282-2643,https://www.yellowpages.com/niagara-falls-ny/mip/community-mission-546640409,"Religious Organizations,Social Service Organizations,Human Services Organizations",https://www.communitymissions.org,1134b Cleveland Ave,Niagara Falls,NY,14305
Alburg Elementary School,(802) 796-6091,https://www.yellowpages.com/alburgh-vt/mip/alburg-elementary-school-525931421,"Public Schools,Schools,Elementary Schools",,192 Lake St,Alburgh,VT,05440
Gateway Longview School,(716) 686-8670,https://www.yellowpages.com/bowmansville-ny/mip/gateway-longview-school-12439980,"Public Schools,Schools,Preschools & Kindergarten",http://www.gateway-longview.org,5360 Genesee St,Bowmansville,NY,14026
Flatbush Yeshiva School,(718) 377-1100,https://www.yellowpages.com/brooklyn-ny/mip/flatbush-yeshiva-school-459632333,"Public Schools,Schools",http://www.flatbush.org,1609 Avenue J,Brooklyn,NY,11230
Sisters of Saint Joseph,(315) 866-1057,https://www.yellowpages.com/herkimer-ny/mip/sisters-of-saint-joseph-15630370,"Religious Organizations,Convents & Monasteries,Churches & Places of Worship",http://www.ssjphila.org,209 Henry St,Herkimer,NY,13350
Church On The Hill,(413) 637-1001,https://www.yellowpages.com/lenox-ma/mip/church-on-the-hill-466725667,"Religious Organizations,Presbyterian Churches,Churches & Places of Worship",https://www.lenoxucc.org,169 Main St,Lenox,MA,01240
Kiantone Congregational Church,(716) 569-2210,https://www.yellowpages.com/jamestown-ny/mip/kiantone-congregational-church-4238073,"Religious Organizations,Congregational Churches,Churches & Places of Worship",http://www.kiantoneny.org,646 Kiantone Rd,Jamestown,NY,14701
Sisters-St Francis-The Neumann,(315) 422-9612,https://www.yellowpages.com/syracuse-ny/mip/sisters-st-francis-the-neumann-13620868,"Religious Organizations,Churches & Places of Worship",http://www.ssfhs.org,1108 Court St,Syracuse,NY,13208
Castleton Elementary School,(518) 732-7755,https://www.yellowpages.com/castleton-on-hudson-ny/mip/castleton-elementary-school-545409768,Public Schools,https://www.schodack.k12.ny.us,1477 S Schodack Rd,Castleton On Hudson,NY,12033
Yeshiva Derech Chaim,(718) 438-5476,https://www.yellowpages.com/brooklyn-ny/mip/yeshiva-derech-chaim-7675303,"Colleges & Universities,Schools",https://www.joyauction.org,1573 39th St,Brooklyn,NY,11218
West Valley Central,(716) 942-3874,https://www.yellowpages.com/west-valley-ny/mip/west-valley-central-497080008,"Public Schools,Schools",,9744 Dutch Hill Rd,West Valley,NY,14171
Gloversville Enlarged School District,(518) 775-5780,https://www.yellowpages.com/gloversville-ny/mip/gloversville-enlarged-school-district-453288290,"Public Schools,Schools,Elementary Schools",http://gloversvilleschools.org,1578 State Highway 29a,Gloversville,NY,12078
Yeshiva Derech Emes,(845) 425-3233,https://www.yellowpages.com/spring-valley-ny/mip/yeshiva-derech-emes-462463208,"Schools,Educational Services",,11 Neil Rd,Spring Valley,NY,10977
St Stephen's Rectory,(607) 849-3630,https://www.yellowpages.com/marathon-ny/mip/st-stephens-rectory-11294910,"Religious Organizations,Catholic Churches,Churches & Places of Worship",,16 Academy St,Marathon,NY,13803
Jacobson Center,(631) 702-0998,https://www.yellowpages.com/east-hampton-ny/mip/jacobson-center-451896469,Public Schools,,592 Three Mile Harbor Hc Rd,East Hampton,NY,11937
South Lewis Um Parsonage,(315) 348-8710,https://www.yellowpages.com/turin-ny/mip/south-lewis-um-parsonage-20904601,Religious Organizations,,6678 E Main St,Turin,NY,13473
Congregation Brith Hadoshah,(716) 873-8986,https://www.yellowpages.com/buffalo-ny/mip/congregation-brith-hadoshah-475167933,Religious Organizations,http://www.shalombuffalo.org,50 Alberta Dr,Buffalo,NY,14226
Chittenango Central Schools Lake Street Elementary School/127 Lake,(315) 687-2986,https://www.yellowpages.com/chittenango-ny/mip/chittenango-central-schools-lake-street-elementary-school-127-lake-10433371,"Public Schools,Schools",,,Chittenango,NY,13037
Manlius United Methodist Church,(315) 682-8021,https://www.yellowpages.com/manlius-ny/mip/manlius-united-methodist-church-3793890,"Religious Organizations,Methodist Churches,Clergy",http://www.manliusumc.org,111 Wesley St,Manlius,NY,13104
West Falls Bible Church,(716) 652-8824,https://www.yellowpages.com/west-falls-ny/mip/west-falls-bible-church-3399640,"Religious Organizations,Bible Churches,Interdenominational Churches",http://westfallsbiblechurch.org,,West Falls,NY,14170
World Impact Ministries,(716) 285-3985,https://www.yellowpages.com/niagara-falls-ny/mip/world-impact-ministries-1158182,Religious Organizations,,613 Pine Ave,Niagara Falls,NY,14301
Eden Central School District,(716) 992-3638,https://www.yellowpages.com/eden-ny/mip/eden-central-school-district-459067638,"Public Schools,Schools,Elementary Schools",http://www.edencsd.org,3000 Schoolview Rd,Eden,NY,14057
Saranac Central School District,(518) 492-7451,https://www.yellowpages.com/dannemora-ny/mip/saranac-central-school-district-21310547,Public Schools,http://www.saranac.org,32 State Rd,Dannemora,NY,12929
Floyd Bell Elementary School,(607) 775-2730,https://www.yellowpages.com/kirkwood-ny/mip/floyd-bell-elementary-school-9456303,"Public Schools,Schools,Preschools & Kindergarten",http://www.windsor-csd.org/FloydLBellElementary_home.aspx,15 Golden St,Kirkwood,NY,13795
Our Lady of Hope,(518) 993-3822,https://www.yellowpages.com/fort-plain-ny/mip/our-lady-of-hope-457698452,"Religious Organizations,Catholic Churches,Churches & Places of Worship",,115 Reid St,Fort Plain,NY,13339
Geneva Alliance Church,(315) 789-8454,https://www.yellowpages.com/geneva-ny/mip/geneva-alliance-church-1409166,"Religious Organizations,Christian Churches,Churches & Places of Worship",https://www.cmalliance.org,340 W North St,Geneva,NY,14456
Servants Of Jesus & Mary,(518) 483-7626,https://www.yellowpages.com/constable-ny/mip/servants-of-jesus-mary-7388412,Religious Organizations,http://fatima.org,17000 State Route 30,Constable,NY,12926
Chapel House Inc,(315) 253-2304,https://www.yellowpages.com/auburn-ny/mip/chapel-house-inc-521187891,Religious Organizations,,290 Grant Ave,Auburn,NY,13021
Busti Church Of God,(716) 487-1636,https://www.yellowpages.com/jamestown-ny/mip/busti-church-of-god-536275731,"Religious Organizations,Church of the Nazarene,Churches & Places of Worship",,996 Forest Ave,Jamestown,NY,14701
Franklin Central School,(607) 829-3551,https://www.yellowpages.com/franklin-ny/mip/franklin-central-school-15220590,"Public Schools,Preschools & Kindergarten,Schools",http://www.franklincsd.org,26 Institute St,Franklin,NY,13775
Tonawanda City School Dist,(716) 695-8645,https://www.yellowpages.com/tonawanda-ny/mip/tonawanda-city-school-dist-467472541,"Public Schools,Schools,Elementary Schools",https://www.tonawandacity.com,555 Fletcher St,Tonawanda,NY,14150
Yeshiva Avir Yakov,(845) 354-6540,https://www.yellowpages.com/spring-valley-ny/mip/yeshiva-avir-yakov-536228590,"Public Schools,Schools",,26 Dr Frank Rd,Spring Valley,NY,10977
Frederick Law Olmstead School,(716) 816-3350,https://www.yellowpages.com/buffalo-ny/mip/frederick-law-olmstead-school-21458985,Public Schools,http://olmstedschool.org,716 W Delavan Ave,Buffalo,NY,14222
Campus West School,(716) 878-6411,https://www.yellowpages.com/buffalo-ny/mip/campus-west-school-13954923,"Public Schools,Preschools & Kindergarten,Schools",,1300 Elmwood Ave,Buffalo,NY,14222
Jehovah's Witnesses,(518) 823-4143,https://www.yellowpages.com/cobleskill-ny/mip/jehovahs-witnesses-8312099,"Religious Organizations,Jehovah's Witnesses Places of Worship,Churches & Places of Worship",http://www.watchtower.org,3706 State Route 145,Cobleskill,NY,12043
Chazy Central Rural School,(518) 846-7250,https://www.yellowpages.com/chazy-ny/mip/chazy-central-rural-school-462445687,Public Schools,,573 Miner Farm Rd,Chazy,NY,12921
American Friends Yeshiva TFRT,(718) 874-9406,https://www.yellowpages.com/airmont-ny/mip/american-friends-yeshiva-tfrt-498167362,,http://www.yeshivatiferet.com,28 Park Ave,Airmont,NY,10952
Abundant Life Christian Center,(315) 463-7300,https://www.yellowpages.com/east-syracuse-ny/mip/abundant-life-christian-center-2769428,"Religious Organizations,Churches & Places of Worship",http://www.alcclife.org,7000 All Nations Blvd,East Syracuse,NY,13057
North Bay Elementary School,(315) 245-2640,https://www.yellowpages.com/north-bay-ny/mip/north-bay-elementary-school-10140615,"Public Schools,Schools,Preschools & Kindergarten",http://www.camdenschools.org,2050 State Route 49,North Bay,NY,13123
Peru Church Of God,(518) 643-2053,https://www.yellowpages.com/peru-ny/mip/peru-church-of-god-2586070,"Religious Organizations,Church of God,Churches & Places of Worship",https://www.peruchurchofgod.org,130 Jabez Allen Rd,Peru,NY,12972
Boonville Elementary School,(315) 942-9241,https://www.yellowpages.com/boonville-ny/mip/boonville-elementary-school-464963283,Public Schools,,RR 294,Boonville,NY,13309
D L Lyon Elementary School,(607) 776-2170,https://www.yellowpages.com/bath-ny/mip/d-l-lyon-elementary-school-532561891,"Public Schools,Elementary Schools,Schools",http://www.bathcsd.org,208 Liberty St,Bath,NY,14810
Gobind Sadan USA,(315) 676-2308,https://www.yellowpages.com/central-square-ny/mip/gobind-sadan-usa-509235831,"Religious Organizations,Churches & Places of Worship",https://www.gobindsadan.org,134 Graves Rd,Central Square,NY,13036
Church Street Supply,(716) 355-8867,https://www.yellowpages.com/panama-ny/mip/church-street-supply-550405828,Religious Organizations,,7736 Church St,Panama,NY,14767
Skaneateles Central School District,(315) 291-2270,https://www.yellowpages.com/skaneateles-ny/mip/skaneateles-central-school-district-453427428,"Public Schools,Schools,Elementary Schools",http://www.skaneatelesdentalassociates.com,819 W Genesee Street Rd,Skaneateles,NY,13152
Living Word Academy,(315) 437-6744,https://www.yellowpages.com/syracuse-ny/mip/living-word-academy-481464595,"Religious Organizations,Christian Churches,Churches & Places of Worship",https://m.facebook.com/pages/living-word-academy/126885824148573,6101 Court Street Rd,Syracuse,NY,13206
Saint James Rectory,(518) 392-4991,https://www.yellowpages.com/chatham-ny/mip/saint-james-rectory-10894741,"Religious Organizations,Churches & Places of Worship,Catholic Churches",https://www.stjameschatham.org,117 Hudson Ave,Chatham,NY,12037
St. Peter RC Church,(716) 754-4118,https://www.yellowpages.com/lewiston-ny/mip/st-peter-rc-church-10613143,Religious Organizations,http://st-peter-rc-parish.org,620 Center St,Lewiston,NY,14092
The Church of Pentecost USA Inc,(716) 424-0605,https://www.yellowpages.com/buffalo-ny/mip/the-church-of-pentecost-usa-inc-545181995,"Religious Organizations,Churches & Places of Worship",,314 Pine Ridge Rd,Buffalo,NY,14225
Yeshivas Beis Dovid Shlomo,(203) 776-9237,https://www.yellowpages.com/new-haven-ct/mip/yeshivas-beis-dovid-shlomo-465327810,"Public Schools,Schools,Religious General Interest Schools",https://www.ybdsnewhaven.org,292 Norton St,New Haven,CT,06511
Boulevard Elementary School,(518) 775-5740,https://www.yellowpages.com/gloversville-ny/mip/boulevard-elementary-school-14773011,"Public Schools,Elementary Schools,Preschools & Kindergarten",http://www.gloversvilleschools.org,56 East Blvd,Gloversville,NY,12078
Gloversville Enlarged School District,(518) 775-5730,https://www.yellowpages.com/gloversville-ny/mip/gloversville-enlarged-school-district-546053559,"Public Schools,Schools",,23 W 11th Ave,Gloversville,NY,12078
East Side Elementary School,(315) 287-2260,https://www.yellowpages.com/gouverneur-ny/mip/east-side-elementary-school-10156464,"Public Schools,Schools,Preschools & Kindergarten",http://gouverneurcentralschool.org,111 Gleason St,Gouverneur,NY,13642
Fonda Fultonville High School,(518) 853-3182,https://www.yellowpages.com/fonda-ny/mip/fonda-fultonville-high-school-458534739,"Public Schools,Preschools & Kindergarten,Elementary Schools",http://www.fondafultonvilleschools.org,112 Old Johnstown Rd,Fonda,NY,12068
Homer Senior High School,(607) 749-7246,https://www.yellowpages.com/homer-ny/mip/homer-senior-high-school-545045743,"Public Schools,High Schools",http://www.homercentral.org,80 S West St,Homer,NY,13077
Camp Silver Lake Yeshiva - CLOSED,(845) 436-5833,https://www.yellowpages.com/woodridge-ny/mip/camp-silver-lake-yeshiva-567945,"Camps-Recreational,Campgrounds & Recreational Vehicle Parks",,69 Silver Lake Rd,Woodridge,NY,12789
Southern Tier Montessori School,(607) 238-7447,https://www.yellowpages.com/vestal-ny/mip/southern-tier-montessori-school-456197256,"Public Schools,Educational Services,Schools",http://stmontessori.com,1062 Powderhouse Rd,Vestal,NY,13850
Addison Central School,(607) 359-2261,https://www.yellowpages.com/addison-ny/mip/addison-central-school-464950303,"Public Schools,Schools,Elementary Schools",http://www.addisoncsd.org,7 Cleveland Dr,Addison,NY,14801
Immaculate Conception School,(716) 652-5855,https://www.yellowpages.com/east-aurora-ny/mip/immaculate-conception-school-8112385,"Religious Organizations,Catholic Churches,Churches & Places of Worship",,510 Oakwood Ave,East Aurora,NY,14052
St Lucy's Church,(518) 861-8770,https://www.yellowpages.com/altamont-ny/mip/st-lucys-church-503639774,"Religious Organizations,Catholic Churches,Churches & Places of Worship",http://www.rcda.org/churches/StLucyStBernadetteChurch,109 Grand St,Altamont,NY,12009
St Agnes Church,(631) 477-0048,https://www.yellowpages.com/greenport-ny/mip/st-agnes-church-13710190,"Religious Organizations,Catholic Churches,Churches & Places of Worship",http://www.saintagnesgreenport.org,523 Front St,Greenport,NY,11944
United Methodist Missionary,(716) 357-9544,https://www.yellowpages.com/chautauqua-ny/mip/united-methodist-missionary-1584876,"Religious Organizations,Methodist Churches,Churches & Places of Worship",,34 S Lake Dr,Chautauqua,NY,14722
Immaculate Conception Church,(315) 637-9846,https://www.yellowpages.com/fayetteville-ny/mip/immaculate-conception-church-455389573,"Religious Organizations,Catholic Churches,Churches & Places of Worship",http://hotmail.com,400 Salt Springs St Ste 1,Fayetteville,NY,13066
Phillips Elementary School - CLOSED,,https://www.yellowpages.com/corning-ny/mip/phillips-elementary-school-3566810,"Public Schools,Elementary Schools,Preschools & Kindergarten",http://corningareaschools.com,120 Corning Blvd,Corning,NY,14830
Seneca Elementary School,(716) 945-5140,https://www.yellowpages.com/salamanca-ny/mip/seneca-elementary-school-4503234,"Public Schools,Elementary Schools",https://www.salamancany.org/site/Default.aspx?DomainID=1,25 Center St,Salamanca,NY,14779
Yeshiva Eitz Chayim of Hillside Inc,(646) 457-0655,https://www.yellowpages.com/hillside-nj/mip/yeshiva-eitz-chayim-of-hillside-inc-526263238,Schools,,1531 Maple Ave,Hillside,NJ,07205
John F Kennedy Middle School,(315) 792-2086,https://www.yellowpages.com/utica-ny/mip/john-f-kennedy-middle-school-462434525,"Public Schools,Schools,Elementary Schools",http://www.uticaschools.org/Domain/13,500 Deerfield Dr E,Utica,NY,13502
Port Leyden Elementary School,(315) 348-2660,https://www.yellowpages.com/port-leyden-ny/mip/port-leyden-elementary-school-537413734,"Public Schools,Elementary Schools",http://www.southlewis.org/portleyden,3336 State Route 12d,Port Leyden,NY,13433
Boces,(518) 483-5230,https://www.yellowpages.com/malone-ny/mip/boces-467761066,"Public Schools,Educational Services,Schools",https://www.fehb.org,23 Huskie Ln,Malone,NY,12953
Saint Hedwig Parish,(716) 366-4480,https://www.yellowpages.com/dunkirk-ny/mip/saint-hedwig-parish-11410716,"Religious Organizations,Catholic Churches,Churches & Places of Worship",http://blessedmaryangeladunkirkny.org,324 Townsend St,Dunkirk,NY,14048
Rockwell Falls Presbyterian Church,(518) 696-3537,https://www.yellowpages.com/lake-luzerne-ny/mip/rockwell-falls-presbyterian-church-7290611,"Religious Organizations,Presbyterian Churches,Churches & Places of Worship",http://www.rockwellfalls.org/index.html,7 Bridge St,Lake Luzerne,NY,12846
Sterling Valley Community Church,(315) 564-3070,https://www.yellowpages.com/sterling-ny/mip/sterling-valley-community-church-475713433,"Religious Organizations,Community Churches,Churches & Places of Worship",,15099 Sterling Valley Rd,Sterling,NY,13156
Saint Andre Bessette Parish,(518) 483-1300,https://www.yellowpages.com/malone-ny/mip/saint-andre-bessette-parish-454817900,Religious Organizations,https://standres.org,306 W Main St,Malone,NY,12953
Erie Chautauqua Cattaraugus Boces,(716) 662-7532,https://www.yellowpages.com/orchard-park-ny/mip/erie-chautauqua-cattaraugus-boces-493802344,Public Schools,,3340 Baker Rd,Orchard Park,NY,14127
Ithaca High School,(607) 274-2143,https://www.yellowpages.com/ithaca-ny/mip/ithaca-high-school-469627340,"Public Schools,Schools,Elementary Schools",http://icsd.k12.ny.us,1401 N Cayuga St,Ithaca,NY,14850
Living Hope Assembly Of God,(315) 245-2214,https://www.yellowpages.com/camden-ny/mip/living-hope-assembly-of-god-458822648,"Religious Organizations,Assemblies of God Churches,Pentecostal Churches",http://ag.org,2488 State Route 69,Camden,NY,13316
Sodus Primary School,(315) 483-5282,https://www.yellowpages.com/sodus-ny/mip/sodus-primary-school-455654930,"Public Schools,Elementary Schools",http://soduscsd.org,6264 State Route 88,Sodus,NY,14551
Saint Mary Parish,(518) 462-4254,https://www.yellowpages.com/albany-ny/mip/saint-mary-parish-6797551,"Religious Organizations,Catholic Churches,Churches & Places of Worship",http://www.hist-stmarys.org,10 Lodge St,Albany,NY,12207
Liverpool High School,(315) 453-1500,https://www.yellowpages.com/liverpool-ny/mip/liverpool-high-school-455388362,"Public Schools,High Schools,Schools",http://www.liverpool.k12.ny.us,4338 Wetzel Rd,Liverpool,NY,13090
King Street,(631) 728-3061,https://www.yellowpages.com/hampton-bays-ny/mip/king-street-21668669,"Religious Organizations,Churches & Places of Worship",http://www.kingautobody.net,9 King St,Hampton Bays,NY,11946
Kirkwood United Methodist Church,(607) 775-3785,https://www.yellowpages.com/kirkwood-ny/mip/kirkwood-united-methodist-church-9131291,"Religious Organizations,Methodist Churches,Churches & Places of Worship",http://www.unyumc.org/resources/church/kirkwood-first-umc,255 Main St,Kirkwood,NY,13795
Yeshiva Kehilath Yakov Inc,(718) 486-3055,https://www.yellowpages.com/brooklyn-ny/mip/yeshiva-kehilath-yakov-inc-455572897,"Private Schools (K-12),Schools,Preschools & Kindergarten",,206 Wilson St,Brooklyn,NY,11211
Windham Summit Bible Church,(570) 247-2944,https://www.yellowpages.com/rome-pa/mip/windham-summit-bible-church-542786093,"Religious Organizations,Interdenominational Churches,Churches & Places of Worship",,7544 Battle Creek Rd,Rome,PA,18837
Syracuse City School District,(315) 435-4217,https://www.yellowpages.com/syracuse-ny/mip/syracuse-city-school-district-458726712,"Public Schools,Schools,Elementary Schools",http://www.syracusecityschools.com,1153 W Fayette St,Syracuse,NY,13204
Lawrence Christian Fellowship,(315) 389-5367,https://www.yellowpages.com/north-lawrence-ny/mip/lawrence-christian-fellowship-2088171,"Religious Organizations,Christian Churches,Interdenominational Churches",,88 County Route 52,North Lawrence,NY,12967
First Spiritualist Temple-East,(716) 652-5018,https://www.yellowpages.com/east-aurora-ny/mip/first-spiritualist-temple-east-2886130,"Religious Organizations,Non-Denominational Churches,Churches & Places of Worship",http://www.firstspiritualisttemple.com,29 Temple Pl,East Aurora,NY,14052
Network-The Spirit Ministries,(814) 596-0038,https://www.yellowpages.com/bradford-pa/mip/network-the-spirit-ministries-541772967,Religious Organizations,,80 Kennedy St,Bradford,PA,16701
Jericho Road Ministries,(716) 882-1325,https://www.yellowpages.com/buffalo-ny/mip/jericho-road-ministries-453215048,Religious Organizations,,318 Breckenridge St,Buffalo,NY,14213
Morrisonville Elementary School,(518) 565-5980,https://www.yellowpages.com/morrisonville-ny/mip/morrisonville-elementary-school-465576744,"Public Schools,Elementary Schools,Preschools & Kindergarten",http://www.saranac.org,47 Sand Rd,Morrisonville,NY,12962
Hyndsville Methodist Parsonage,(518) 234-3017,https://www.yellowpages.com/cobleskill-ny/mip/hyndsville-methodist-parsonage-453326830,Religious Organizations,,5688 State Route 10,Cobleskill,NY,12043
St John Lutheran Church,(570) 888-2412,https://www.yellowpages.com/sayre-pa/mip/st-john-lutheran-church-324404,"Religious Organizations,Lutheran Churches,Churches & Places of Worship",http://www.sjlcsayrepa.org,207 S Hopkins St,Sayre,PA,18840
Cincinnatus Central School,(607) 863-3200,https://www.yellowpages.com/cincinnatus-ny/mip/cincinnatus-central-school-468179614,"Public Schools,High Schools,Schools",http://www.cc.cnyric.org,2809 Cincinnatus Rd,Cincinnatus,NY,13040
Robert L Bradley Elementary,(315) 624-1220,https://www.yellowpages.com/new-hartford-ny/mip/robert-l-bradley-elementary-7108408,"Public Schools,Schools,Elementary Schools",http://www.newhartfordschools.org/site/Default.aspx?PageID=18,33 Oxford Rd,New Hartford,NY,13413
Elizabeth Cady Stanton,(315) 568-5834,https://www.yellowpages.com/seneca-falls-ny/mip/elizabeth-cady-stanton-10473634,Public Schools,https://www.senecafallscsd.org,38 Garden St,Seneca Falls,NY,13148
Missionary's-Blessed Sacrament,(518) 561-8193,https://www.yellowpages.com/plattsburgh-ny/mip/missionarys-blessed-sacrament-462716634,Religious Organizations,http://acfp2000.com,12 Brinkerhoff St,Plattsburgh,NY,12901
Lake Champlain Waldorf School,(802) 495-0834,https://www.yellowpages.com/shelburne-vt/mip/lake-champlain-waldorf-school-506002934,"Public Schools,Schools",http://www.lakechamplainwaldorfschool.org,122 Bostwick Rd,Shelburne,VT,05482
True Light Church,(631) 734-8614,https://www.yellowpages.com/cutchogue-ny/mip/true-light-church-483329719,"Religious Organizations,Baptist Churches,Churches & Places of Worship",http://www.truelightnofo.org,31095 Main Rd,Cutchogue,NY,11935
Vestal Central School District,(607) 757-2271,https://www.yellowpages.com/vestal-ny/mip/vestal-central-school-district-462431943,"Public Schools,Preschools & Kindergarten,Schools",,209 Clayton Ave,Vestal,NY,13850
Westover United Methodist,(607) 238-7252,https://www.yellowpages.com/johnson-city-ny/mip/westover-united-methodist-6657331,"Religious Organizations,Methodist Churches,Churches & Places of Worship",http://www.westoverschool.org,27 Dayton St,Johnson City,NY,13790
Gloversville Enlarged School District,(518) 775-5750,https://www.yellowpages.com/gloversville-ny/mip/gloversville-enlarged-school-district-467096265,"Public Schools,Schools,Educational Services",,50 Bloomingdale Ave,Gloversville,NY,12078
Jehovah's Witnesses,(716) 372-1105,https://www.yellowpages.com/olean-ny/mip/jehovahs-witnesses-4857996,"Religious Organizations,Jehovah's Witnesses Places of Worship,Churches & Places of Worship",,2275 Dugan Rd,Olean,NY,14760
Moriches Elementary,(631) 874-1398,https://www.yellowpages.com/moriches-ny/mip/moriches-elementary-497841483,Public Schools,http://www.wfsd.k12.ny.us/index.php/moriches-elementary-school,16 Louis Ave,Moriches,NY,11955
New Hope Education Center,(716) 855-0654,https://www.yellowpages.com/buffalo-ny/mip/new-hope-education-center-462697692,Public Schools,http://www.harvesthouse.ws,175 Jefferson Ave,Buffalo,NY,14210
Abundant Life In Christ Ministries,(716) 877-1806,https://www.yellowpages.com/buffalo-ny/mip/abundant-life-in-christ-ministries-453379659,"Religious Organizations,Churches & Places of Worship",,986 Grant St,Buffalo,NY,14207
