business_name,telephone,business_page,category,website,street,locality,region,zipcode,latitude,longitude
Steinig Sholom Rabbi,(718) 423-3720,https://www.yellowpages.com/bayside-ny/mip/steinig-sholom-rabbi-12590684,"Synagogues,Churches & Places of Worship",,20934 26th Ave,Bayside,NY,11360,40.7684351,-73.7770774
Congregation Beth-El,(718) 969-2842,https://www.yellowpages.com/fresh-meadows-ny/mip/congregation-beth-el-23180922,"Synagogues,Churches & Places of Worship,Religious Organizations",,18001 Union Tpke,Fresh Meadows,NY,11366,40.7280646,-73.7848424
Cong. Avreichim Breslov,(347) 231-9084,https://www.yellowpages.com/brooklyn-ny/mip/cong-avreichim-breslov-459709827,"Synagogues,Religious Organizations",,306 Rutledge St,Brooklyn,NY,11211,40.70504714285714,-73.95226465306122
Holliswood Jewish Cntr,(718) 776-8500,https://www.yellowpages.com/queens-village-ny/mip/holliswood-jewish-cntr-12616170,"Synagogues,Churches & Places of Worship",https://www.yiholliswood.org,8625 Francis Lewis Blvd,Queens Village,NY,11427,40.7229609,-73.7613504
Traditional Synagogue Of Coop City,(718) 379-6920,https://www.yellowpages.com/bronx-ny/mip/traditional-synagogue-of-coop-city-3785200,"Synagogues,Churches & Places of Worship",,120 Erdman Pl,Bronx,NY,10475,40.8634167,-73.8237484
Cong Kor Boruch Inc,(718) 435-3537,https://www.yellowpages.com/brooklyn-ny/mip/cong-kor-boruch-inc-505169417,"Synagogues,Churches & Places of Worship",,4811 13th Ave,Brooklyn,NY,11219,40.63515185,-73.99149118429968
Congregation Shaarei Shalom,(718) 796-0305,https://www.yellowpages.com/bronx-ny/mip/congregation-shaarei-shalom-458716080,"Synagogues,Reform Synagogues,Religious Organizations",http://www.shaareishalomriverdale.org,5919 Riverdale Ave,Bronx,NY,10471,40.9072873,-73.9041941
Temple Beth-El Of Bensonhurst,(718) 232-0019,https://www.yellowpages.com/brooklyn-ny/mip/temple-beth-el-of-bensonhurst-15689794,Synagogues,,1656 W 10th St,Brooklyn,NY,11223,40.6061849,-73.9834838964198
Congrega Emmanu,(914) 305-1626,https://www.yellowpages.com/rye-ny/mip/congrega-emmanu-464991177,"Synagogues,Religious Organizations,Reform Synagogues",http://www.congregationemanuel.org,2125 Westchester Ave,Rye,NY,10580,41.0053543,-73.6798899
Rockwood Pk Jewish Cntr,(718) 641-5822,https://www.yellowpages.com/howard-beach-ny/mip/rockwood-pk-jewish-cntr-7616540,"Synagogues,Churches & Places of Worship",http://rockwoodparkjewishcenter.org,15645 84th St Ste 3,Howard Beach,NY,11414,40.6578815,-73.8362459
Tomchei Tshuva,(718) 232-8900,https://www.yellowpages.com/brooklyn-ny/mip/tomchei-tshuva-505890968,"Synagogues,Churches & Places of Worship",,1774 58th St,Brooklyn,NY,11204,40.62322055,-73.98644871107636
First Roumanian American Congregation,(212) 673-2835,https://www.yellowpages.com/new-york-ny/mip/first-roumanian-american-congregation-21582779,"Synagogues,Religious Organizations",,89 Rivington St,New York,NY,10002,40.720146,-73.98887214285715
Congregation Tefila Shaaray,(516) 239-2444,https://www.yellowpages.com/lawrence-ny/mip/congregation-tefila-shaaray-14500186,"Synagogues,Religious Organizations,Churches & Places of Worship",http://www.shaaray-tefilah.org,25 Central Ave,Lawrence,NY,11559,40.610332428571425,-73.74387424489795
David Magen Of Union Square,(212) 673-0333,https://www.yellowpages.com/new-york-ny/mip/david-magen-of-union-square-475167871,Synagogues,http://www.magendavidny.org,177 Sullivan St,New York,NY,10012,40.72804682352941,-74.00093570588236
Beth El Synagogue,(860) 482-8263,https://www.yellowpages.com/torrington-ct/mip/beth-el-synagogue-9703847,Synagogues,,124 Litchfield St,Torrington,CT,6790,41.7982276405455,-73.1235923711859
Congregation Beth El,(860) 442-0418,https://www.yellowpages.com/new-london-ct/mip/congregation-beth-el-531201547,"Synagogues,Conservative Synagogues,Religious Organizations",http://bethelnl.org,660 Ocean Ave,New London,CT,6320,41.32737965,-72.10143704166666
Tenenbaum Avraham Rabbi,(845) 425-9465,https://www.yellowpages.com/monsey-ny/mip/tenenbaum-avraham-rabbi-9945692,Synagogues,,325 S Grandview Ave,Monsey,NY,10952,41.113888,-74.074995
Cong Ej Safra Biet Yaako,(212) 754-9555,https://www.yellowpages.com/new-york-ny/mip/cong-ej-safra-biet-yaako-470383664,"Synagogues,Churches & Places of Worship",http://www.ejsny.org,11 E 63rd St,New York,NY,10065,40.766550550000005,-73.97017074426377
Utopia Jewish Center,(718) 461-8347,https://www.yellowpages.com/fresh-meadows-ny/mip/utopia-jewish-center-3384150,"Synagogues,Churches & Places of Worship",,6441 Utopia Pkwy,Fresh Meadows,NY,11365,40.7380614,-73.7929108
Congregation Stl Shaare Torah,(516) 482-2903,https://www.yellowpages.com/great-neck-ny/mip/congregation-stl-shaare-torah-495886868,"Synagogues,Religious Organizations,Churches & Places of Worship",,813 Middle Neck Rd,Great Neck,NY,11024,40.809215,-73.735728
Kolel Avreichim Of Bobov,(718) 435-7818,https://www.yellowpages.com/brooklyn-ny/mip/kolel-avreichim-of-bobov-5618467,Synagogues,,1533 48th St,Brooklyn,NY,11219,40.632554,-73.98613510000001
Temple Beth El Of Northern Westchester,(914) 238-3928,https://www.yellowpages.com/chappaqua-ny/mip/temple-beth-el-of-northern-westchester-550039994,Synagogues,http://www.bethelnw.org,229 Bedford Rd,Chappaqua,NY,10514,41.16356203570292,-73.76167023504618
Chabad Lubavitch,(718) 854-0006,https://www.yellowpages.com/brooklyn-ny/mip/chabad-lubavitch-464878706,"Synagogues,Churches & Places of Worship,Religious Organizations",https://www.chabadcentralbrooklyn.com?lang=en,605 Ocean Pkwy,Brooklyn,NY,11218,40.6337075,-73.9716473
Oakland Jewish Cntr,(718) 225-7800,https://www.yellowpages.com/oakland-gardens-ny/mip/oakland-jewish-cntr-5682894,Synagogues,,6135 220th St,Oakland Gardens,NY,11364,40.7474113,-73.7573392
Jewish Latin Center,(646) 628-1510,https://www.yellowpages.com/new-york-ny/mip/jewish-latin-center-496283290,"Synagogues,Religious Organizations",http://www.jewishlatincenter.com,387 Park Ave S,New York,NY,10016,40.7428261,-73.9842213
Congregation Beth Elohim,(718) 768-7414,https://www.yellowpages.com/new-york-ny/mip/congregation-beth-elohim-512114507,"Synagogues,Religious Organizations,Reform Synagogues",,169 8th Ave,New York,NY,10011,40.7426521,-74.0006585
Maha Lakshmi Mandir Inc,(718) 805-4988,https://www.yellowpages.com/south-richmond-hill-ny/mip/maha-lakshmi-mandir-inc-2278054,"Synagogues,Churches & Places of Worship",http://www.mahalakshmimandirinc.org,12115 101st Ave,South Richmond Hill,NY,11419,40.6994253,-73.8309672
Kissena Jewish Cntr,(718) 461-1871,https://www.yellowpages.com/flushing-ny/mip/kissena-jewish-cntr-460504533,"Synagogues,Churches & Places of Worship",,4343 Bowne St,Flushing,NY,11355,40.759042,-73.823557
Chabad of Fort Greene,(718) 974-9472,https://www.yellowpages.com/brooklyn-ny/mip/chabad-of-fort-greene-496325360,Synagogues,http://www.greenechabad.com,341B Grand Ave,Brooklyn,NY,11238,40.685688818181816,-73.96215654545455
Vedic Heritage Inc,(516) 539-9055,https://www.yellowpages.com/hempstead-ny/mip/vedic-heritage-inc-10239851,"Synagogues,Churches & Places of Worship,Religious Organizations",http://www.vedicheritage.org,111 Jerusalem Ave,Hempstead,NY,11550,40.701964810810814,-73.6136805945946
United Jewish Appeal,(516) 677-1800,https://www.yellowpages.com/syosset-ny/mip/united-jewish-appeal-665309,"Synagogues,Churches & Places of Worship,Religious Organizations",http://www.ujafedny.org,6900 Jericho Tpke Ste 302,Syosset,NY,11791,40.824926,-73.5001887
Shivi Shakdi Peeth,(718) 217-4003,https://www.yellowpages.com/hollis-ny/mip/shivi-shakdi-peeth-28893976,Synagogues,http://www.shivshaktipeeth.org,19643 Foothill Ave,Hollis,NY,11423,40.71816028571428,-73.76689328571429
Flushing-Fresh Meadows Jewish Center,(718) 358-7071,https://www.yellowpages.com/fresh-meadows-ny/mip/flushing-fresh-meadows-jewish-center-458225401,"Synagogues,Churches & Places of Worship",http://ffmjc.com,19310 Peck Ave,Fresh Meadows,NY,11365,40.7413763,-73.7783064
Chabad At Wesleyan University,(860) 704-9595,https://www.yellowpages.com/middletown-ct/mip/chabad-at-wesleyan-university-505134471,"Synagogues,Churches & Places of Worship",http://www.chabadwesleyan.org,34 High St,Middletown,CT,6457,41.54985301189442,-72.65299448497738
Congregation Mt Horab,(718) 589-2651,https://www.yellowpages.com/bronx-ny/mip/congregation-mt-horab-11211409,"Synagogues,Religious Organizations,Churches & Places of Worship",,1042 Rev James A Polite Ave,Bronx,NY,10459,40.8506558,-73.8665241
Ohr The American,(516) 487-6080,https://www.yellowpages.com/great-neck-ny/mip/ohr-the-american-525702966,"Synagogues,Conservative Synagogues,Churches & Places of Worship",,112 Steamboat Rd,Great Neck,NY,11024,40.807460500000005,-73.7458345
Messianic Temple Beth El,(718) 621-7399,https://www.yellowpages.com/brooklyn-ny/mip/messianic-temple-beth-el-2290035,"Synagogues,Messianic Synagogues",http://www.messianictemple.org,,Brooklyn,NY,11214,40.6501038,-73.9495823
I C,(845) 356-1000,https://www.yellowpages.com/monsey-ny/mip/i-c-2274071,"Synagogues,Churches & Places of Worship",,4 Maple Leaf Rd,Monsey,NY,10952,41.11435586421701,-74.06826686291117
The Jewish Center,(212) 724-2700,https://www.yellowpages.com/new-york-ny/mip/the-jewish-center-6149610,Synagogues,http://www.jewishcenter.org,131 W 86th St,New York,NY,10024,40.78723985,-73.97323587413732
Hyim Shaal Congregation,(718) 375-1581,https://www.yellowpages.com/brooklyn-ny/mip/hyim-shaal-congregation-19271734,"Synagogues,Conservative Synagogues,Religious Organizations",,1123 Avenue N,Brooklyn,NY,11230,40.615409,-73.9626543
Chabad of Franklin County,(413) 376-8770,https://www.yellowpages.com/greenfield-ma/mip/chabad-of-franklin-county-487785443,Synagogues,,25 Haywood St,Greenfield,MA,1301,42.600021,-72.59268179378788
Chabad Center for Jewish Discovery,(212) 924-3200,https://www.yellowpages.com/new-york-ny/mip/chabad-center-for-jewish-discovery-466238827,"Synagogues,Religious Organizations",https://www.chabadnyc.info,121 W 19th St,New York,NY,10011,40.741113999999996,-73.99561369210014
Temple Beth Emeth,(631) 928-4103,https://www.yellowpages.com/mount-sinai-ny/mip/temple-beth-emeth-4380778,"Synagogues,Churches & Places of Worship",http://tbemtsinai.org,52 Mount Sinai Ave,Mount Sinai,NY,11766,40.93236606907639,-73.01599712412674
West Point Jewish Chapel,(845) 938-2710,https://www.yellowpages.com/west-point-ny/mip/west-point-jewish-chapel-463040422,Synagogues,http://www.westpoint.edu,750 Merritt Rd,West Point,NY,10996,40.8512481,-72.5359869
Congregation Ohav Sholom,(516) 378-1988,https://www.yellowpages.com/merrick-ny/mip/congregation-ohav-sholom-460194503,"Synagogues,Churches & Places of Worship,Religious Organizations",http://www.ohav.org,145 Merrick Ave,Merrick,NY,11566,40.6638183,-73.550503
Sea Of Galilee Temple,(347) 949-6078,https://www.yellowpages.com/new-york-ny/mip/sea-of-galilee-temple-473127549,"Synagogues,Churches & Places of Worship,Religious Organizations",https://www.sogonline.org,166 Eldridge St,New York,NY,10002,40.7200219,-73.9908464
Kingsway Jewish Center,(718) 258-3344,https://www.yellowpages.com/brooklyn-ny/mip/kingsway-jewish-center-29343546,"Synagogues,Religious Organizations,Churches & Places of Worship",https://www.kingswayjewishcenter.org/login.php,2810 Nostrand Ave,Brooklyn,NY,11229,40.615341,-73.94514552047005
Temple Israel Ctr,(914) 948-2800,https://www.yellowpages.com/white-plains-ny/mip/temple-israel-ctr-4754744,"Synagogues,Churches & Places of Worship",http://www.templeisraelcenter.org,280 Old Mamaroneck Rd,White Plains,NY,10605,41.007284,-73.762105
Congregation Bais Medrash,(516) 569-1971,https://www.yellowpages.com/cedarhurst-ny/mip/congregation-bais-medrash-29305514,Synagogues,http://baismedrash.org,504 W Broadway,Cedarhurst,NY,11516,40.62675866666667,-73.72841033333333
First Baptist Church,(501) 268-3561,https://www.yellowpages.com/searcy-ar/mip/first-baptist-church-349954?lid=1001978415443,"Synagogues,Baptist Churches,Religious Organizations",http://www.fbcsearcy.org,105 S Spring St,Searcy,AR,72143,35.24785006122449,-91.737656
Judaica Kingdom,(347) 260-3356,https://www.yellowpages.com/bronx-ny/mip/judaica-kingdom-457276047,"Synagogues,Churches & Places of Worship",http://www.judaicakingdom.com,3601 Johnson Ave,Bronx,NY,10463,40.887047100000004,-73.90991962655539
Temple Beth Am,(914) 962-7500,https://www.yellowpages.com/yorktown-heights-ny/mip/temple-beth-am-512853,"Synagogues,Churches & Places of Worship",https://www.templebetham-ny.org,203 Church Pl,Yorktown Heights,NY,10598,41.27017657911257,-73.7776108625506
Flatbush Shaare Torah,(718) 871-5200,https://www.yellowpages.com/brooklyn-ny/mip/flatbush-shaare-torah-1516078,"Synagogues,Churches & Places of Worship",https://flatbushjewishcenter.org,327 E 5th St,Brooklyn,NY,11218,40.64455019047619,-73.97561947619047
Brothers Of Joseph Synagogue,(860) 887-3777,https://www.yellowpages.com/norwich-ct/mip/brothers-of-joseph-synagogue-460577539,"Synagogues,Conservative Synagogues,Churches & Places of Worship",http://brofjo.tripod.com,2 Broad St,Norwich,CT,6360,41.531834,-72.081048
Remsen Heights Jewish Cntr,(718) 763-2305,https://www.yellowpages.com/brooklyn-ny/mip/remsen-heights-jewish-cntr-17029480,"Synagogues,Churches & Places of Worship",,8700 Avenue K,Brooklyn,NY,11236,40.635337,-73.904077
United Jewish Communities,(212) 284-6500,https://www.yellowpages.com/new-york-ny/mip/united-jewish-communities-459329258,"Synagogues,Churches & Places of Worship,Religious Organizations",http://ujc.org,111 8th Ave Ste 11e,New York,NY,10011,40.7127281,-74.0060152
Congregation B Nai Torah,(845) 477-3716,https://www.yellowpages.com/greenwood-lake-ny/mip/congregation-b-nai-torah-497147327,Synagogues,https://bnaitorahgwl.org,14 Lake Trl,Greenwood Lake,NY,10925,41.2225932,-74.2943178
Congregation Beth Israel,(718) 853-1720,https://www.yellowpages.com/brooklyn-ny/mip/congregation-beth-israel-5323555,"Synagogues,Churches & Places of Worship,Religious Organizations",http://beth-israel.org,5602 11th Ave,Brooklyn,NY,11219,40.633745000000005,-74.00103839133709
United Jewish Appeal Federation of Jewish Philanth,(516) 484-3860,https://www.yellowpages.com/greenvale-ny/mip/united-jewish-appeal-federation-of-jewish-philanth-16458815,Synagogues,,300 Forest Dr,Greenvale,NY,11548,40.8075208,-73.6342584
Chabad Of The River Towns,(914) 693-6100,https://www.yellowpages.com/dobbs-ferry-ny/mip/chabad-of-the-river-towns-6340925,"Synagogues,Churches & Places of Worship,Religious Organizations",http://www.chabadrt.org,303 Broadway,Dobbs Ferry,NY,10522,41.013730670882794,-73.87430371964405
Temple Beth-El,(607) 273-5775,https://www.yellowpages.com/ithaca-ny/mip/temple-beth-el-462754317,Synagogues,http://tbeithaca.org,402 N Tioga St,Ithaca,NY,14850,42.44294595,-76.4973363339563
Congregation Shoneh Halochos,(718) 942-4622,https://www.yellowpages.com/brooklyn-ny/mip/congregation-shoneh-halochos-12716015,"Synagogues,Religious Organizations,Churches & Places of Worship",http://tihilim.com,1719 56th St,Brooklyn,NY,11204,40.625427599999995,-73.9863907
Temple Beth El,(845) 356-2000,https://www.yellowpages.com/spring-valley-ny/mip/temple-beth-el-799158,"Synagogues,Churches & Places of Worship,Religious Organizations",http://www.rtrny.org,415 Viola Rd,Spring Valley,NY,10977,41.13398903701769,-74.06025101167587
New Shul,(212) 274-8310,https://www.yellowpages.com/new-york-ny/mip/new-shul-515885316,"Synagogues,Religious Organizations",https://www.newshul.org,15 Charles St,New York,NY,10014,40.7346569,-74.0047111
Chuang Yen Monastery,(845) 225-1819,https://www.yellowpages.com/carmel-ny/mip/chuang-yen-monastery-10542882,Synagogues,http://www.baus.org,2020 Route 301,Carmel,NY,10512,41.4266361,-73.6788272
Beth AM The Peoples Temple,(212) 568-8304,https://www.yellowpages.com/new-york-ny/mip/beth-am-the-peoples-temple-465643117,Synagogues,https://hebrewtabernacle.org,551 Fort Washington Ave,New York,NY,10033,40.8536157,-73.9375308
Bensonhurst Council Of Jewish,(718) 333-1834,https://www.yellowpages.com/brooklyn-ny/mip/bensonhurst-council-of-jewish-11118285,"Synagogues,Religious Organizations,Churches & Places of Worship",http://www.bencojo.org,8635 21st Ave,Brooklyn,NY,11214,40.602380249999996,-73.99660340521828
Elmont Jewish Center,(516) 488-1616,https://www.yellowpages.com/elmont-ny/mip/elmont-jewish-center-8283537,"Synagogues,Churches & Places of Worship",,500 Elmont Rd,Elmont,NY,11003,40.697531,-73.71505
Chadbad Jewish Enrichment Center,(845) 356-6686,https://www.yellowpages.com/spring-valley-ny/mip/chadbad-jewish-enrichment-center-3624455,Synagogues,http://www.chabadjec.org,750 Chestnut Ridge Rd,Spring Valley,NY,10977,41.1020996,-74.0459893
Garden City Jewish Center,(516) 248-9180,https://www.yellowpages.com/village-of-garden-city-ny/mip/garden-city-jewish-center-12544143,"Synagogues,Churches & Places of Worship",http://www.gardencityjewishcenter.org,168 Nassau Blvd,Village Of Garden City,NY,11530,40.7299968,-73.6608438
Pardes Center for Jewish Life,(845) 440-7592,https://www.yellowpages.com/fishkill-ny/mip/pardes-center-for-jewish-life-502952579,"Synagogues,Religious Organizations",http://www.mypardess.org,15 Aspen Ct,Fishkill,NY,12524,41.539836,-73.92035
Congregation Sons Of Israel,(845) 352-6767,https://www.yellowpages.com/spring-valley-ny/mip/congregation-sons-of-israel-467673874,Synagogues,,80 Williams Ave,Spring Valley,NY,10977,40.67440445,-73.90059265088863
Congregation Ahavath Chesed,(860) 442-3234,https://www.yellowpages.com/new-london-ct/mip/congregation-ahavath-chesed-8562126,"Synagogues,Conservative Synagogues,Religious Organizations",http://www.chabadect.com,590 Montauk Ave,New London,CT,6320,41.33036113378723,-72.09767708701142
Temple Beth El,(845) 856-1722,https://www.yellowpages.com/port-jervis-ny/mip/temple-beth-el-9447506,"Synagogues,Churches & Places of Worship",http://www.templebethelpjny.org,88 E Main St,Port Jervis,NY,12771,41.37390045,-74.68286281081615
Congregation Tifereth Israel,(718) 429-4100,https://www.yellowpages.com/east-elmhurst-ny/mip/congregation-tifereth-israel-954703,"Synagogues,Churches & Places of Worship,Religious Organizations",http://ctionline.org,3136 88th St,East Elmhurst,NY,11369,40.7418887,-73.8780325
Oyster Bay Jewish Center,(516) 922-6650,https://www.yellowpages.com/oyster-bay-ny/mip/oyster-bay-jewish-center-12512898,"Synagogues,Churches & Places of Worship",http://www.ldorvdor.org,11 Temple Ln,Oyster Bay,NY,11771,40.8601597,-73.52703461904161
Congregation Ohel Torah Ateres Mordechai,(718) 557-7220,https://www.yellowpages.com/brooklyn-ny/mip/congregation-ohel-torah-ateres-mordechai-503182474,"Synagogues,Religious Organizations,Churches & Places of Worship",,163 Parkville Ave,Brooklyn,NY,11230,40.6303913,-73.9728364
New Brighton Jewish Cntr,(718) 332-9689,https://www.yellowpages.com/brooklyn-ny/mip/new-brighton-jewish-cntr-521071469,Synagogues,,184 Brighton 11th St,Brooklyn,NY,11235,40.5785502,-73.9589251
Mikvah Yisroel Of Scranton,(570) 344-5138,https://www.yellowpages.com/scranton-pa/mip/mikvah-yisroel-of-scranton-8898993,"Synagogues,Religious Organizations,Churches & Places of Worship",,917 E Gibson St,Scranton,PA,18510,41.4120778,-75.65068400084746
Central Assembly of God,(860) 779-0682,https://www.yellowpages.com/wauregan-ct/mip/central-assembly-of-god-16737942?lid=1002028672171,"Synagogues,Temples,Christian Churches",,350 Wauregan Rd,Wauregan,CT,6387,41.760373848739796,-71.92862932846229
Beartown Road Alliance Church,(607) 936-2866,https://www.yellowpages.com/painted-post-ny/mip/beartown-road-alliance-church-7690258?lid=1002054151291,"Synagogues,Methodist Churches,Anglican Churches",http://www.beartownroad.org,21 Beartown Rd,Painted Post,NY,14870,42.16396,-77.09379534881683
Temple Beth Shalom,(845) 628-6133,https://www.yellowpages.com/mahopac-ny/mip/temple-beth-shalom-3689553,"Synagogues,Churches & Places of Worship",https://www.tbsmahopac.org,760 Route 6,Mahopac,NY,10541,41.371217,-73.73224142636172
Uscj United Synagogue,(212) 533-0400,https://www.yellowpages.com/new-york-ny/mip/uscj-united-synagogue-550408531,"Synagogues,Churches & Places of Worship",,3080 Broadway,New York,NY,10027,40.8120963,-73.9605604
Temple Israel,(516) 432-1410,https://www.yellowpages.com/long-beach-ny/mip/temple-israel-455348186,"Synagogues,Religious Organizations,Churches & Places of Worship",http://www.templeisraeloflb.org,305 Riverside Blvd,Long Beach,NY,11561,40.587795020408166,-73.66123640816326
Riverdale Temple,(718) 548-3800,https://www.yellowpages.com/bronx-ny/mip/riverdale-temple-1583817,"Synagogues,Churches & Places of Worship",https://www.riverdaletemple.org,4545 Independence Ave,Bronx,NY,10471,40.8917364,-73.91287769703482
Garden Jewish Center Of Flushing,(718) 445-1317,https://www.yellowpages.com/whitestone-ny/mip/garden-jewish-center-of-flushing-343472,Synagogues,,2420 Parsons Blvd,Whitestone,NY,11357,40.7903588,-73.8238086
Congregation Of Ohel-Shalom,(718) 854-7240,https://www.yellowpages.com/brooklyn-ny/mip/congregation-of-ohel-shalom-7093351,"Synagogues,Churches & Places of Worship,Religious Organizations",,4419 12th Ave,Brooklyn,NY,11219,40.63894095918367,-73.9914941632653
Temple Beth David,(585) 266-3223,https://www.yellowpages.com/rochester-ny/mip/temple-beth-david-504903127,"Synagogues,Churches & Places of Worship",http://tbdrochester.org,2131 Elmwood Ave,Rochester,NY,14618,43.125455,-77.597612
Congregation Sons of Israel,(914) 762-2700,https://www.yellowpages.com/briarcliff-manor-ny/mip/congregation-sons-of-israel-7356151,"Synagogues,Conservative Synagogues,Churches & Places of Worship",http://www.csibriarcliff.org,1666 Pleasantville Rd,Briarcliff Manor,NY,10510,41.160836070071724,-73.84110964369222
The Wall Street Synagogue,(212) 227-7800,https://www.yellowpages.com/new-york-ny/mip/the-wall-street-synagogue-3157194,Synagogues,http://www.thewallstreetsynagogue.org,47 Beekman St,New York,NY,10038,40.70998195,-74.00548069510764
Jewish Education Program,(914) 381-2210,https://www.yellowpages.com/mamaroneck-ny/mip/jewish-education-program-4444533,"Synagogues,Adult Education,Religious Organizations",http://www.jepofwestchester.com,192 E Boston Post Rd Ste 1,Mamaroneck,NY,10543,40.9539564,-73.7363419
B'nai Israel Reform Temple,(631) 563-1660,https://www.yellowpages.com/oakdale-ny/mip/bnai-israel-reform-temple-2647279,"Synagogues,Churches & Places of Worship,Religious Organizations",http://bnai-israel.org,67 Oakdale Bohemia Rd,Oakdale,NY,11769,40.7451738,-73.1286858
Kolot Chayeinu,(718) 390-7493,https://www.yellowpages.com/brooklyn-ny/mip/kolot-chayeinu-16901765,"Synagogues,Religious Organizations",http://www.kolotchayeinu.org,1012 8th Ave,Brooklyn,NY,11215,40.6649754,-73.9800983
Beth El Nursery School,(860) 442-0418,https://www.yellowpages.com/new-london-ct/mip/beth-el-nursery-school-8169961,"Synagogues,Conservative Synagogues,Churches & Places of Worship",,660 Ocean Ave,New London,CT,6320,41.32737965,-72.10143704166666
Congregation Beth Shalom,(973) 835-3500,https://www.yellowpages.com/pompton-lakes-nj/mip/congregation-beth-shalom-14681284,"Synagogues,Churches & Places of Worship",http://bethshalomnj.org,21 Passaic Ave,Pompton Lakes,NJ,7442,41.0001079,-74.28797995
Kingsbridge Center of Isreal,(718) 548-1678,https://www.yellowpages.com/bronx-ny/mip/kingsbridge-center-of-isreal-13929790,"Synagogues,Religious Organizations,Churches & Places of Worship",http://www.kcishul.org,3115 Corlear Ave,Bronx,NY,10463,40.88089895,-73.90749560070252
Arya Samaj NY Inc,(718) 526-2926,https://www.yellowpages.com/jamaica-ny/mip/arya-samaj-ny-inc-3117268,"Synagogues,Churches & Places of Worship,Religious Organizations",http://aryasamajjamnagar.org,15022 Hillside Ave,Jamaica,NY,11432,40.711861400000004,-73.79085426098416
Congregation B'nai Josef,(718) 627-9861,https://www.yellowpages.com/brooklyn-ny/mip/congregation-bnai-josef-13699235,"Synagogues,Religious Organizations,Churches & Places of Worship",http://yikb.org,1616 Ocean Pkwy,Brooklyn,NY,11223,40.6091033,-73.968125
Temple Beth Torah,(631) 920-6776,https://www.yellowpages.com/melville-ny/mip/temple-beth-torah-6980773,"Synagogues,Churches & Places of Worship",http://www.tbtny.org,35 Bagatelle Rd,Melville,NY,11747,40.787735,-73.3730855
Young Israel Of Briarwood,(718) 657-2880,https://www.yellowpages.com/jamaica-ny/mip/young-israel-of-briarwood-274058,"Synagogues,Churches & Places of Worship",,8475 Daniels St,Jamaica,NY,11435,40.69983135,-73.80770285370261
Chayim Aruchim,(718) 382-7500,https://www.yellowpages.com/brooklyn-ny/mip/chayim-aruchim-524573985,Synagogues,https://www.chayimaruchim.com/default.asp,4006 18th Ave,Brooklyn,NY,11218,40.63260151020408,-73.97344285714286
The Chatham Synagogue,(518) 392-0701,https://www.yellowpages.com/valatie-ny/mip/the-chatham-synagogue-9970207,"Synagogues,Churches & Places of Worship",http://www.chathamsynagogue.org,1536 County Route 28,Valatie,NY,12184,42.448832,-73.677347
